Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,meanHQ,TITAN COMPANY LIMITED18ER,VEDANTA LIMITED18ER,JSW STEEL LTD.18ER,BAJAJ FINSERV LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,SHREE CEMENT LTD.18ER,TITAN COMPANY LIMITED17ER,VEDANTA LIMITED17ER,JSW STEEL LTD.17ER,TECH MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,BAJAJ FINANCE LIMITED17ER,KOTAK MAHINDRA BANK LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,NESTLE INDIA LTD.17ER,HCL TECHNOLOGIES LTD.17ER,TITAN COMPANY LIMITED16ER,VEDANTA LIMITED16ER,JSW STEEL LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,BAJAJ FINSERV LTD.16ER,BAJAJ FINANCE LIMITED16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,AXIS BANK LTD.16ER,NESTLE INDIA LTD.16ER,TITAN COMPANY LIMITED15ER,VEDANTA LIMITED15ER,JSW STEEL LTD.15ER,TECH MAHINDRA LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,NESTLE INDIA LTD.15ER,TITAN COMPANY LIMITED14ER,VEDANTA LIMITED14ER,JSW STEEL LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,NESTLE INDIA LTD.14ER,HINDUSTAN ZINC LTD.14ER,meanER
February-2014,-4.58,-3.79,-3.26,-3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.32,5.78,4.73,-0.47,3.86,9.85,2.4
March-2014,-15.93,9.07,14.17,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.36,-5.83,-18.48,4.94,-3.27,-9.98,-6.83
April-2014,3.22,3.8,3.1,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,1.52,-4.56,-2.32,4.72,-0.23,0.34
May-2014,-17.17,3.26,7.42,-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.98,-51.0,-11.95,-1.95,-3.49,-22.15,-18.75
June-2014,-9.99,-7.91,-10.37,-9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.48,-4.51,-2.11,-14.45,-0.15,-6.11,-6.8
July-2014,1.12,0.24,-3.67,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.6,4.67,-13.63,-3.62,3.12,-0.93
August-2014,-10.69,-4.0,-6.78,-7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.42,4.55,-5.61,-8.92,-17.04,-2.38,-5.97
September-2014,-1.32,-5.47,-4.28,-3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.32,1.66,7.08,-12.09,0.32,2.75,-2.1
October-2014,0.8,5.52,-8.11,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,6.16,-8.97,-9.61,-4.31,-6.81,-3.33
November-2014,-27.28,-3.91,-7.6,-12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,9.56,4.66,-7.73,0.18,4.89,2.91
December-2014,-2.66,5.41,54.78,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.03,7.44,12.91,-11.57,-2.47,-4.25,-0.16
January-2015,-22.42,-9.48,-8.7,-13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.93,5.77,6.7,-11.06,-11.51,-11.43,,,,,,,-5.74
February-2015,-8.6,-8.73,-7.1,-8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,-7.86,-3.43,0.46,-5.57,1.51,,,,,,,-2.09
March-2015,1.91,4.77,3.41,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,12.94,10.21,78.03,1.86,0.85,,,,,,,18.44
April-2015,11.34,14.22,12.37,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,-10.85,-2.72,0.98,10.82,5.2,,,,,,,0.96
May-2015,-5.11,-4.28,-4.12,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,6.33,1.76,11.05,-5.65,-4.2,,,,,,,1.78
June-2015,7.36,3.11,51.28,20.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,11.59,4.79,13.75,-4.93,7.46,,,,,,,5.94
July-2015,-12.45,-4.59,-9.41,-8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55,25.16,3.95,-10.75,-3.29,0.04,,,,,,,4.44
August-2015,5.62,-0.4,-1.59,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.29,24.24,-9.93,2.64,11.22,5.79,,,,,,,4.94
September-2015,16.58,-4.5,-5.96,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,13.69,3.54,-8.23,-2.05,-6.26,,,,,,,1.08
October-2015,-5.46,3.99,2.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,-17.51,-2.65,3.43,-3.62,2.69,,,,,,,-4.54
November-2015,8.71,0.1,4.19,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.55,9.95,0.81,1.02,3.18,4.97,,,,,,,1.73
December-2015,0.04,2.25,-1.48,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24,-0.28,-14.18,2.21,-3.73,0.83,,,,,,,-0.98
January-2016,6.57,-0.25,-5.46,0.29,,,,,,,,,,,,,,,,,,,,,-4.96,20.6,-2.51,-0.13,5.94,1.74,6.74,9.48,9.2,5.73,,,,,,,,,,,,,5.18
February-2016,3.81,7.36,6.96,6.04,,,,,,,,,,,,,,,,,,,,,13.07,1.19,-6.3,13.94,13.83,-0.32,9.85,-2.82,8.06,8.71,,,,,,,,,,,,,5.92
March-2016,-23.89,-8.36,-12.38,-14.88,,,,,,,,,,,,,,,,,,,,,-7.1,-26.89,-13.81,-17.12,-5.79,-16.9,-4.14,3.01,-18.47,-15.09,,,,,,,,,,,,,-12.23
April-2016,5.21,1.71,0.58,2.5,,,,,,,,,,,,,,,,,,,,,-4.9,-15.41,-7.14,-8.56,-9.51,1.4,1.52,-6.79,-6.23,0.44,,,,,,,,,,,,,-5.52
May-2016,-13.44,1.35,-3.22,-5.1,,,,,,,,,,,,,,,,,,,,,-1.07,-4.39,-1.4,-0.26,2.25,-10.88,-13.79,5.29,-9.18,-6.18,,,,,,,,,,,,,-3.96
June-2016,-1.28,-2.22,6.33,0.94,,,,,,,,,,,,,,,,,,,,,-12.67,-21.7,-5.3,-9.02,-27.15,-5.46,-1.11,-1.88,-3.46,-6.39,,,,,,,,,,,,,-9.41
July-2016,-10.38,2.34,8.27,0.08,,,,,,,,,,,,,,,,,,,,,-3.55,-24.89,-14.25,44.62,-17.28,-29.64,-9.71,-6.28,-2.36,-10.43,,,,,,,,,,,,,-7.38
August-2016,3.15,10.05,3.46,5.55,,,,,,,,,,,,,,,,,,,,,0.21,-3.31,-4.88,-1.65,-9.07,-6.4,-2.31,-17.88,-9.08,8.46,,,,,,,,,,,,,-4.59
September-2016,6.07,2.62,-0.13,2.85,,,,,,,,,,,,,,,,,,,,,5.38,-1.18,1.35,-1.72,-3.62,90.41,0.93,2.52,9.03,2.0,,,,,,,,,,,,,10.51
October-2016,3.7,2.65,3.43,3.26,,,,,,,,,,,,,,,,,,,,,3.49,-17.67,4.16,-9.43,-10.87,-2.27,0.88,1.61,9.98,-8.0,,,,,,,,,,,,,-2.81
November-2016,6.28,-0.02,2.7,2.99,,,,,,,,,,,,,,,,,,,,,15.66,-13.48,-4.03,3.94,12.42,14.92,8.41,8.3,3.7,9.88,,,,,,,,,,,,,5.97
December-2016,-2.35,-1.91,-3.61,-2.62,,,,,,,,,,,,,,,,,,,,,-1.15,5.85,5.9,1.48,3.04,8.72,0.18,5.12,4.2,3.63,,,,,,,,,,,,,3.7
January-2017,-5.44,3.57,8.05,2.06,,,,,,,,,-11.37,-17.04,87.79,7.56,,-11.96,-23.47,-7.44,-8.23,-8.5,3.11,2.24,,,,,,,,,,,,,,,,,,,,,,,1.15
February-2017,2.5,-6.87,-8.93,-4.43,,,,,,,,,-20.36,-2.35,5.9,-10.65,,-22.33,-6.86,-3.68,-0.18,-3.26,-7.07,-3.86,,,,,,,,,,,,,,,,,,,,,,,-6.79
March-2017,-5.52,-5.5,-0.84,-3.95,,,,,,,,,-5.65,-6.02,-0.48,8.05,,-3.12,-6.03,-8.88,-9.76,-4.76,-6.81,-3.92,,,,,,,,,,,,,,,,,,,,,,,-4.31
April-2017,-0.66,4.12,9.93,4.46,,,,,,,,,-2.16,11.32,-6.08,9.28,-15.45,-11.76,-8.67,-3.38,-2.31,-7.23,-0.32,6.96,,,,,,,,,,,,,,,,,,,,,,,-2.48
May-2017,-1.63,-8.71,-6.26,-5.53,,,,,,,,,-0.73,1.89,2.49,6.49,-0.88,8.26,-3.85,-6.98,-2.15,2.6,0.68,-6.52,,,,,,,,,,,,,,,,,,,,,,,0.11
June-2017,0.0,51.83,4.23,18.69,,,,,,,,,-10.3,-4.21,-4.74,2.19,-9.64,1.8,-3.72,0.94,-2.94,-4.57,-0.99,1.7,,,,,,,,,,,,,,,,,,,,,,,-2.87
July-2017,-3.14,-11.69,-8.09,-7.64,,,,,,,,,-3.74,-12.29,-8.93,-1.02,-12.68,-21.47,-23.86,-6.73,-10.51,-6.15,-0.4,-4.49,,,,,,,,,,,,,,,,,,,,,,,-9.36
August-2017,8.33,-3.48,9.49,4.78,,,,,,,,,-13.51,-10.19,-15.06,-11.11,-13.26,-10.08,-4.79,4.3,0.6,-7.41,-5.2,3.02,,,,,,,,,,,,,,,,,,,,,,,-6.89
September-2017,6.88,6.05,1.81,4.91,,,,,,,,,5.5,-1.88,2.51,-6.82,-3.66,6.49,-2.88,-2.66,1.96,-3.12,-1.71,-1.46,,,,,,,,,,,,,,,,,,,,,,,-0.64
October-2017,-2.45,-4.64,-2.55,-3.21,,,,,,,,,-8.86,-5.72,-3.83,-5.27,-5.62,2.38,1.92,-2.26,1.92,-7.03,0.02,2.17,,,,,,,,,,,,,,,,,,,,,,,-2.51
November-2017,3.29,0.75,-5.78,-0.58,,,,,,,,,-29.13,10.88,1.3,-1.65,1.89,-3.97,3.91,2.38,1.73,-2.87,-5.94,0.89,,,,,,,,,,,,,,,,,,,,,,,-1.72
December-2017,1.1,-7.4,-6.6,-4.3,,,,,,,,,-4.51,-11.48,-5.97,-2.97,-5.67,-0.28,-1.59,-0.89,-1.94,1.4,-2.55,-5.04,,,,,,,,,,,,,,,,,,,,,,,-3.46
January-2018,3.78,2.79,-10.71,-1.38,-1.52,-2.96,-7.58,8.16,-9.97,0.92,-5.88,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78
February-2018,3.38,3.89,-2.05,1.74,6.11,2.96,-7.57,-5.11,1.89,-6.68,4.71,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07
March-2018,2.96,3.88,3.39,3.41,-15.35,15.53,7.71,-2.41,3.69,0.27,13.13,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
April-2018,-6.98,0.96,-5.73,-3.92,-4.23,-7.26,-12.88,-5.87,-15.43,-10.77,-14.61,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.39
May-2018,5.8,6.04,-2.71,3.04,8.12,16.48,-2.21,-10.32,-10.46,-7.7,3.51,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32
June-2018,4.31,0.19,-6.08,-0.53,2.5,5.44,1.73,3.8,-0.36,-4.48,5.15,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
July-2018,-6.92,-5.89,-4.46,-5.76,-3.6,5.73,-1.01,-20.06,2.42,-5.38,-7.55,-9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.89
August-2018,-17.63,-8.98,-5.49,-10.7,2.17,-2.23,-20.19,3.31,1.83,-3.11,4.19,-11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.14
September-2018,9.9,-7.48,49.45,17.29,9.57,-2.0,4.07,11.34,11.04,13.85,14.32,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17
October-2018,-0.18,-2.25,5.72,1.1,-4.79,8.85,11.02,9.79,2.23,2.87,2.85,17.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
November-2018,4.78,2.01,2.88,3.22,-9.67,7.31,7.06,-11.19,-10.23,43.93,-14.67,-18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.75
December-2018,-3.8,-1.66,1.0,-1.49,-0.46,-3.35,2.64,-7.89,-1.82,1.29,-5.86,-4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49
